filename;prompt
income-protection-for-pre-existing-conditions-health-advisor-plan-featured;A compassionate occupational health advisor is seen discussing a phased return-to-work plan with a client in a bright, modern office, conveying support and practical help.
income-protection-for-pre-existing-conditions-payout-timeline-midcon;A simple animated graphic of a calendar, showing a 'deferred period' of several weeks, followed by a flow of money icons, clearly explaining how income protection payouts begin.
income-protection-insurance-financial-safety-net-banner;A person is shown resting and recovering comfortably in their own home, with a cup of tea, while a graphic of a financial safety net protects the house, symbolising the security of income protection.
income-protection-insurance-payout-timeline-graphic-featured;A clear, animated graphic timeline illustrating how income protection works: a person stops working, the 'deferred period' passes, and then a steady stream of monthly income payments begins.
income-protection-insurance-sick-pay-comparison-midcon;A side-by-side comparison graphic showing the low weekly amount of Statutory Sick Pay (£116.75) next to a much larger bar representing up to 70% of a typical salary covered by income protection.
kidney-cancer-survivor-healthy-hobby-banner;A person who has recovered from kidney cancer is shown enjoying a healthy, active hobby like cycling through a British forest, looking happy and full of life.
kidney-cancer-urologist-clear-scan-featured;A compassionate urologist is seen explaining a clear CT scan on a monitor to a relieved patient, showing the successful removal of a tumour.
kidney-cancer-urinary-system-graphic-midcon;A simple animated graphic of the human urinary system, clearly highlighting the kidneys to provide educational context about the location of the cancer.
kidney-disease-transplant-survivor-holiday-banner;A person who has had a kidney transplant is shown enjoying a holiday with their family, looking healthy and happy, conveying a sense of renewed life and freedom.
kidney-disease-renal-consultant-egfr-graph-featured;A compassionate renal consultant is seen explaining an eGFR graph to a patient on a tablet, showing how their kidney function is stable with good management.
kidney-disease-filtering-function-graphic-midcon;A simple animated graphic of a pair of kidneys, clearly illustrating the filtering function and how it is measured by the eGFR rate.
kidney-stones-lifestyle-hydration-banner;A person is shown enjoying a large glass of water after exercising, looking healthy and hydrated, visually linking to a key preventative measure for kidney stones.
kidney-stones-urologist-reassurance-xray-featured;A compassionate urologist is seen explaining a kidney X-ray on a screen to a patient, showing a small kidney stone and reassuring them about the treatment plan.
kidney-stones-urinary-system-graphic-midcon;A simple animated graphic of the urinary system (kidneys, ureters, bladder), clearly showing where a kidney stone can form and travel.
kidney-transplant-recipient-celebration-banner;A kidney transplant recipient is shown celebrating a milestone birthday with their family, looking healthy and happy, conveying the gift of life and the importance of family.
kidney-transplant-donor-recipient-hope-featured;A compassionate photograph of a living kidney donor and their recipient (e.g., two friends) smiling together post-surgery, conveying a story of hope and generosity.
kidney-transplant-surgery-graphic-midcon;A simple animated graphic of the human body, showing the placement of a new, healthy kidney and how it takes over the function of the old kidneys.
lupus-life-insurance-creative-hobby-wellbeing-banner;A person with lupus is shown enjoying a calm, creative hobby like painting or photography indoors, conveying a sense of peaceful and well-managed living with a chronic condition.
lupus-life-insurance-rheumatologist-blood-results-featured;A compassionate rheumatologist is explaining a patient's positive blood test results on a computer screen in a bright, modern clinic, symbolising good disease management and control.
lupus-life-insurance-butterfly-rash-graphic-midcon;A simple animated graphic of the human body, with a butterfly rash appearing on the face, and then other areas like joints and kidneys highlighted, to clearly explain how SLE can be a systemic illness.
lymphoma-life-insurance-survivor-milestone-banner;A lymphoma survivor is pictured celebrating a milestone anniversary with their partner, looking happy and healthy, conveying a sense of a full life after cancer.
lymphoma-life-insurance-haematologist-remission-scan-featured;A compassionate haematologist is seen explaining a clear scan result on a monitor to a relieved patient and their family in a calm and positive clinical setting.
lymphoma-life-insurance-lymphatic-system-graphic-midcon;A simple animated graphic of the human lymphatic system, showing the main lymph node areas to illustrate where lymphoma can occur.
marfan-syndrome-family-unity-legacy-banner;A multi-generational family is shown walking together in a beautiful UK park, conveying a sense of family unity, support, and planning for the future across generations.
marfan-syndrome-genetic-counsellor-support-featured;A compassionate genetic counsellor is seen sitting with a couple, explaining a family health history chart on a tablet in a calm, supportive clinic environment.
marfan-syndrome-dna-helix-graphic-midcon;A simple animated graphic of a DNA helix, with one chromosome highlighted on the 21st pair to visually explain Trisomy 21.
menieres-disease-calm-activity-wellbeing-banner;A person with Meniere's disease is shown enjoying a stable, calm activity like reading a book in a comfortable armchair, conveying a sense of managing their condition and finding peace.
menieres-disease-audiologist-hearing-test-featured;A compassionate audiologist is seen explaining an audiogram (hearing test result) to a patient in a modern soundproof booth, symbolising professional care and understanding.
menieres-disease-inner-ear-graphic-midcon;A simple animated graphic of the inner ear, clearly showing the labyrinth and cochlea to help explain where Meniere's disease originates.
mental-health-hopeful-wellbeing-journey-banner;A person is shown walking out of a shadowed area into a bright, sunny field, symbolising a journey towards mental wellbeing and a hopeful future.
mental-health-supportive-conversation-featured;A compassionate, close-up shot of two people having a supportive conversation over a cup of tea in a calm café, representing talking about mental health.
mental-health-brain-calm-pathways-midcon;A simple, animated graphic of a brain with colourful, positive pathways lighting up, representing the positive effects of therapy and treatment on mental health.
motor-neurone-disease-family-legacy-banner;A poignant, hopeful photograph of a person with MND sitting in a wheelchair, holding hands with their family while looking out at a calm sunset over a UK landscape.
motor-neurone-disease-palliative-care-support-featured;A compassionate palliative care nurse is seen talking gently with a patient and their family in a comfortable and peaceful hospice room, conveying a sense of expert care and support.
motor-neurone-disease-nerve-degeneration-graphic-midcon;A simple animated graphic of a nerve cell connecting to a muscle, showing how the signal degenerates in MND to explain the condition clearly and sensitively.
ms-life-insurance-work-from-home-control-banner;A person with MS is shown successfully working from home at a comfortable, adapted workstation, conveying a sense of productivity and control over their life.
ms-life-insurance-neurologist-mri-scan-featured;A compassionate neurologist is seen explaining an MRI scan to a patient on a large screen, pointing out areas of stability and reassuring them about their condition management.
ms-life-insurance-myelin-sheath-graphic-midcon;A simple animated graphic of a nerve fibre, showing a healthy nerve with its protective myelin sheath intact, alongside a nerve where the myelin has been damaged by MS.
multiple-sclerosis-life-insurance-work-from-home-control-banner;A person with MS is shown successfully working from home at a comfortable, adapted workstation, conveying a sense of productivity and control over their life.
multiple-sclerosis-life-insurance-neurologist-mri-scan-featured;A compassionate neurologist is seen explaining an MRI scan to a patient on a large screen, pointing out areas of stability and reassuring them about their condition management.
multiple-sclerosis-life-insurance-myelin-sheath-graphic-midcon;A simple animated graphic of a nerve fibre, showing a healthy nerve with its protective myelin sheath intact, alongside a nerve where the myelin has been damaged by MS.
myasthenia-gravis-life-insurance-creative-hobby-banner;A person with Myasthenia Gravis is shown enjoying a hobby that requires gentle precision, like painting or playing a musical instrument, conveying a sense of control and a rich quality of life.
myasthenia-gravis-life-insurance-neurologist-explanation-featured;A compassionate neurologist is seen explaining the neuromuscular junction on a clear diagram to a patient, empowering them with knowledge about their condition in a calm clinic setting.
myasthenia-gravis-life-insurance-nerve-muscle-graphic-midcon;A simple animated graphic of a nerve ending and a muscle fibre, showing the acetylcholine receptors being blocked by antibodies to visually explain the mechanism of Myasthenia Gravis.
myelodysplastic-syndrome-life-insurance-family-legacy-banner;A touching, hopeful photograph of an older person with MDS spending quality time with their grandchildren in a peaceful garden, conveying the importance of family and legacy.
myelodysplastic-syndrome-life-insurance-nurse-support-featured;A compassionate haematology nurse is seen talking with a patient and their family in a calm clinic room, providing support and explaining a treatment plan.
myelodysplastic-syndrome-life-insurance-bone-marrow-graphic-midcon;A simple animated graphic of bone marrow, showing healthy blood cell production versus the disordered production seen in MDS, to help explain the condition.
non-hodgkin-lymphoma-survivor-milestone-celebration-banner;A lymphoma survivor is pictured celebrating a milestone anniversary with their partner, looking happy and healthy, conveying a sense of a full life after cancer.
non-hodgkin-lymphoma-haematologist-remission-scan-featured;A compassionate haematologist is seen explaining a clear scan result on a monitor to a relieved patient and their family in a calm and positive clinical setting.
non-hodgkin-lymphoma-lymphatic-system-graphic-midcon;A simple animated graphic of the human lymphatic system, showing the main lymph node areas to illustrate where Hodgkin's Lymphoma can occur.
obesity-life-insurance-hill-climb-celebration-banner;A person is shown celebrating at the top of a UK hill they have just climbed, looking happy and healthy, conveying the positive results of a healthier lifestyle.
obesity-life-insurance-dietician-meal-plan-featured;A compassionate and professional-looking dietician is seen discussing a healthy meal plan with a client, using colourful food models to make it engaging and positive.
obesity-life-insurance-bmi-chart-graphic-midcon;A simple graphic chart showing the BMI categories from underweight to obese, with a clear arrow indicating the "healthy weight" zone, for simple educational context.
ocular-hypertension-life-insurance-routine-eye-test-banner;A person in their 50s is shown having a routine eye pressure test at a modern opticians, looking calm and relaxed, conveying the importance of regular check-ups.
ocular-hypertension-life-insurance-ophthalmologist-explanation-featured;A compassionate ophthalmologist is showing a patient a diagram of the eye on a screen, clearly explaining the difference between ocular hypertension and glaucoma.
ocular-hypertension-life-insurance-eye-pressure-graphic-midcon;A simple animated graphic of a cross-section of the eye, showing the flow of aqueous humour and how pressure can build up.
osteoarthritis-life-insurance-active-lifestyle-walk-banner;A healthy and active older person is shown enjoying a walk in a beautiful UK national park, conveying that osteoarthritis doesn't have to stop you from living a full life.
osteoarthritis-life-insurance-physiotherapist-demonstration-featured;A compassionate physiotherapist is seen demonstrating a simple knee-strengthening exercise to a patient in a bright, modern clinic.
osteoarthritis-life-insurance-joint-comparison-graphic-midcon;A clear, simple animated graphic of a knee joint, showing the difference between a healthy joint with smooth cartilage and one affected by osteoarthritis with worn-down cartilage.
osteoporosis-life-insurance-yoga-bone-health-banner;A healthy and active older woman is shown enjoying a yoga class, conveying strength, balance and a positive approach to bone health.
osteoporosis-life-insurance-rheumatologist-dexa-scan-featured;A compassionate rheumatologist is seen explaining a DEXA scan result on a screen to a patient, reassuring them about their bone density and treatment plan.
osteoporosis-life-insurance-bone-density-graphic-midcon;A simple animated graphic showing a cross-section of a healthy bone with a dense honeycomb structure, compared to an osteoporotic bone with a much more porous structure.
over-50s-life-insurance-happy-couple-garden-banner;A happy and relaxed couple in their 60s are shown enjoying their garden, with a sense of peace and security about the future.
over-50s-life-insurance-advisor-explanation-featured;A compassionate financial advisor is sitting with an older client, clearly explaining the simple features of an Over 50s plan document in a comfortable living room setting.
over-50s-life-insurance-funeral-fund-graphic-midcon;A simple graphic showing a piggy bank labelled "Funeral Costs" being filled by a life insurance policy, visually explaining the primary purpose of the plan.
pancreatic-cancer-family-legacy-support-banner;A poignant, hopeful photograph of a family (a couple in their 60s with their adult children) sharing a quiet, loving moment in a peaceful garden, conveying the importance of family legacy.
pancreatic-cancer-palliative-care-nurse-comfort-featured;A compassionate palliative care nurse is seen holding a patient's hand, offering comfort and support in a calm and dignified hospice environment.
pancreatic-cancer-digestive-system-graphic-midcon;A simple animated graphic of the digestive system, clearly highlighting the pancreas and its location behind the stomach, to provide clear educational context.
pancreatitis-life-insurance-healthy-lifestyle-choice-banner;A person is shown making a healthy lifestyle choice, such as choosing a glass of water over alcohol at a social event, looking happy and in control of their health.
pancreatitis-life-insurance-gastroenterologist-reassurance-featured;A compassionate gastroenterologist is seen explaining an ultrasound scan of a pancreas to a patient in a calm clinic setting, reassuring them about their recovery.
pancreatitis-life-insurance-gallstone-blockage-graphic-midcon;A simple animated graphic of the digestive system, clearly highlighting the pancreas and showing how a gallstone can cause a blockage and inflammation.
paralysis-life-insurance-adaptive-sport-empowerment-banner;A person who uses a wheelchair is shown participating in an adaptive sport like wheelchair basketball or rugby, looking determined and empowered.
paralysis-life-insurance-occupational-therapist-support-featured;A compassionate occupational therapist is seen in a person's home, advising on adaptations like ramps or hoists to improve independence and quality of life.
paralysis-life-insurance-spinal-cord-injury-graphic-midcon;A simple animated graphic of the spinal column, showing a cross-section of the spinal cord to illustrate how an injury can interrupt nerve signals to the body.
parkinsons-disease-hobby-quality-of-life-banner;A person with Parkinson's disease is shown enjoying a non-strenuous but engaging activity, such as painting or playing bowls, conveying a sense of purpose and a good quality of life.
parkinsons-disease-neurologist-treatment-plan-featured;A compassionate neurologist is seen discussing a treatment plan with a patient and their partner in a calm clinic room, building a sense of a supportive healthcare partnership.
parkinsons-disease-brain-dopamine-graphic-midcon;A simple animated graphic of the brain, showing a depletion of dopamine-producing cells to visually explain the underlying cause of Parkinson's disease.
peripheral-neuropathy-hobby-sensory-life-banner;A person is shown enjoying a hands-on hobby like gardening or pottery, focusing on the sense of touch and conveying that life can be full despite sensory symptoms.
peripheral-neuropathy-nerve-conduction-study-featured;A compassionate neurologist is seen performing a nerve conduction study on a patient, explaining the process clearly in a calm, modern clinic setting.
peripheral-neuropathy-nervous-system-graphic-midcon;A simple animated graphic of the peripheral nervous system, showing the network of nerves extending from the brain and spinal cord to the hands and feet.
polycystic-kidney-disease-family-day-out-banner;A person with PKD is shown enjoying a day out with their family, looking happy and well, conveying that a full life is possible with a well-managed chronic condition.
polycystic-kidney-disease-renal-specialist-scan-featured;A compassionate renal specialist is seen explaining a kidney scan on a screen to a patient, pointing out the cysts but also reassuring them about their treatment plan.
polycystic-kidney-disease-kidney-comparison-graphic-midcon;A simple animated graphic comparing a healthy kidney with one affected by polycystic kidney disease, clearly showing how the cysts enlarge the organ.
post-traumatic-stress-disorder-calm-recovery-banner;A person is shown practicing a calming activity like fishing by a peaceful UK river at dawn, conveying a sense of tranquility and recovery.
post-traumatic-stress-disorder-therapist-support-featured;A compassionate therapist is seen talking with a client in a safe and supportive one-on-one session, symbolising the positive step of seeking professional help.
post-traumatic-stress-disorder-brain-rewiring-graphic-midcon;A simple animated graphic of a brain, with a 'rewiring' effect of calming, organised pathways replacing chaotic ones, to visually represent the process of therapies like EMDR.
pregnancy-life-insurance-hopeful-anticipation-banner;A beautiful, serene photograph of a pregnant woman in her third trimester, cradling her bump while looking out of a window, conveying a sense of hopeful and calm anticipation.
pregnancy-life-insurance-new-father-newborn-featured;A warm, natural shot of a new father holding his newborn baby, looking down with love and a sense of responsibility and protection.
pregnancy-life-insurance-timeline-graphic-midcon;A simple, clean graphic timeline illustrating the 9 months of pregnancy, with a highlight on the first and second trimesters as the ideal time to arrange life insurance.
prostate-cancer-survivor-family-life-banner;A man in his 60s is shown happily playing with his grandchildren in a park, looking healthy and active, conveying a sense of living a full life after a cancer diagnosis.
prostate-cancer-urologist-positive-results-featured;A compassionate urologist is explaining a low Gleason score on a pathology report to a patient, reassuring them about their positive prognosis in a calm clinic setting.
prostate-cancer-prostate-gland-location-graphic-midcon;A simple animated graphic of the male pelvic area, clearly showing the location of the prostate gland to provide educational context.
prostatitis-life-insurance-active-family-lifestyle-banner;A man in his 40s is shown enjoying a normal, active day, playing football in the park with his children, conveying that prostatitis does not have to impact a healthy lifestyle.
prostatitis-life-insurance-gp-reassurance-psa-test-featured;A compassionate GP is seen talking to a male patient, reassuring him about a normal PSA test result on a computer screen in a calm, professional clinic.
prostatitis-life-insurance-urinary-system-graphic-midcon;A simple animated graphic of the male urinary system, clearly showing the location of the prostate gland below the bladder.
rem-sleep-disorder-peaceful-sleep-wellbeing-banner;A person is shown sleeping peacefully in a calm, dark bedroom, conveying a sense of rest and well-managed sleep, with a subtle graphic of calm brainwaves in the background.
rem-sleep-disorder-neurologist-sleep-study-featured;A compassionate neurologist is seen discussing a sleep study report with a patient in a calm clinic setting, providing clear explanations and support.
rem-sleep-disorder-brain-sleep-graphic-midcon;A simple animated graphic of the brain during sleep, showing the difference between normal muscle paralysis in REM sleep versus the acting out of dreams in RBD.
rheumatoid-arthritis-proactive-self-management-banner;A person with rheumatoid arthritis is shown enjoying a low-impact activity like swimming or tai chi, looking focused and healthy, conveying a sense of proactive self-management.
rheumatoid-arthritis-biologic-drug-explanation-featured;A compassionate rheumatologist is explaining to a patient how a biologic drug works, using a clear diagram of the immune system on a tablet.
rheumatoid-arthritis-joint-inflammation-graphic-midcon;A simple animated graphic comparing a healthy joint with one that is inflamed and damaged by rheumatoid arthritis, clearly explaining the nature of the condition.
sarcoidosis-life-insurance-calm-lifestyle-banner;A person with sarcoidosis is shown enjoying a gentle walk in a beautiful UK botanical garden, conveying a sense of calm and a positive, well-managed lifestyle.
sarcoidosis-life-insurance-consultant-reassurance-featured;A compassionate respiratory consultant is seen explaining a clear chest X-ray to a patient on a light box, reassuring them about the stability of their pulmonary sarcoidosis.
sarcoidosis-life-insurance-granuloma-location-graphic-midcon;A simple animated graphic of the human body, showing the lungs and lymph nodes highlighted to illustrate the most common sites for sarcoidosis granulomas.
schizophrenia-life-insurance-community-garden-stability-banner;A person living with schizophrenia is shown engaged in a structured, calming activity like tending to an allotment or community garden, conveying a sense of purpose and stability.
schizophrenia-life-insurance-support-worker-conversation-featured;A compassionate mental health support worker is seen having a one-to-one chat with a client in a calm, safe community centre environment.
schizophrenia-life-insurance-support-network-graphic-midcon;A simple animated graphic of a person's silhouette with supportive figures around them (family, friends, healthcare professionals), representing a strong support network.
sleep-apnoea-life-insurance-refreshed-morning-banner;A person is shown waking up refreshed in a bright, sunny bedroom, looking well-rested and energetic, symbolising the positive impact of successful sleep apnoea treatment.
sleep-apnoea-life-insurance-sleep-study-results-featured;A compassionate sleep technician is seen explaining the results of a sleep study on a computer screen to a patient, in a calm and professional clinic setting.
sleep-apnoea-life-insurance-airway-cpap-graphic-midcon;A simple animated graphic showing the airway, illustrating the difference between an open airway during normal sleep and a collapsed airway in Obstructive Sleep Apnoea, and how a CPAP machine keeps it open.
smokers-life-insurance-quitting-anniversary-celebration-banner;A person is shown celebrating their one-year anniversary of quitting smoking, looking healthier and happier, perhaps blowing out a '1' candle on a cake with their family.
smokers-life-insurance-positive-life-change-featured;A close-up shot of a person confidently deleting a 'smoking' app from their phone and replacing it with a 'fitness' or 'savings' app, symbolising a positive life change.
smokers-life-insurance-premium-comparison-graphic-midcon;A simple graphic comparing two life insurance premium amounts side-by-side: one high premium labelled 'Smoker' and one significantly lower premium labelled 'Non-Smoker (12 months free)'.
spina-bifida-life-insurance-adaptive-sport-empowerment-banner;A person who uses a wheelchair is shown successfully participating in an adaptive sport like archery or wheelchair tennis, looking focused and empowered.
spina-bifida-life-insurance-neurosurgeon-explanation-featured;A compassionate paediatric neurosurgeon is seen explaining a spinal model to the parents of a child with spina bifida, providing clear information and reassurance.
spina-bifida-life-insurance-neural-tube-graphic-midcon;A simple animated graphic of the developing spinal column, showing the difference between a closed neural tube and the openings seen in meningocele and myelomeningocele.
stent-life-insurance-active-lifestyle-recovery-banner;A person who has had a stent fitted is shown enjoying a healthy, active lifestyle, such as cycling with their family in a UK park, looking fit and happy.
stent-life-insurance-cardiologist-explanation-featured;A compassionate cardiologist is seen showing a patient an animation of a coronary artery on a tablet, clearly explaining how a stent works to improve blood flow.
stent-life-insurance-angioplasty-graphic-midcon;A simple animated graphic of a narrowed artery being opened by a balloon angioplasty, followed by the insertion of a stent which remains in place, holding the artery open.
stroke-life-insurance-positive-recovery-hobby-banner;A stroke survivor is shown enjoying a hobby that requires fine motor skills, such as painting or playing the piano, conveying a sense of positive recovery and regaining skills.
stroke-life-insurance-therapist-support-featured;A compassionate speech and language therapist is seen working with a patient, using a tablet with communication aids, in a supportive clinical environment.
stroke-life-insurance-stroke-type-comparison-midcon;A simple animated graphic of the brain, clearly showing the difference between an ischaemic stroke (a blockage) and a haemorrhagic stroke (a bleed).
suicidal-thoughts-life-insurance-hope-support-banner;A person is shown looking out at a calm sunrise over a UK landscape, with a hand on their shoulder from a supportive friend or partner, conveying hope, support, and a new day.
suicidal-thoughts-life-insurance-therapy-support-featured;A compassionate therapist is seen talking with a client in a safe, calm, and private therapy room, symbolising the positive and life-saving step of seeking help.
suicidal-thoughts-life-insurance-immediate-support-graphic-midcon;A simple graphic of a phone with the Samaritans' phone number (116 123) clearly displayed, with a hand reaching out to it, to visually reinforce the availability of immediate support.
tachycardia-life-insurance-calm-activity-wellbeing-banner;A person is shown practicing a calming activity like yoga or meditation in a peaceful setting, conveying a sense of control over their heart rate and wellbeing.
tachycardia-life-insurance-cardiologist-ecg-explanation-featured;A compassionate cardiologist is seen explaining a normal ECG trace on a screen to a reassured patient in a modern, bright clinic.
tachycardia-life-insurance-heart-rhythm-graphic-midcon;A simple animated graphic of the heart's electrical system, showing a normal rhythm versus a fast tachycardic rhythm originating from the atria.
terminal-illness-life-insurance-family-support-banner;A poignant, loving image of a family's hands clasped together, conveying support, unity, and strength during a difficult time.
terminal-illness-life-insurance-palliative-care-nurse-featured;A compassionate palliative care nurse from Marie Curie is seen sitting with a patient in their own home, providing comfort and expert care.
terminal-illness-life-insurance-financial-security-graphic-midcon;A simple graphic showing a life insurance policy document transforming into a protective shield over a family home, visually representing financial security.
thyroid-cancer-life-insurance-survivor-activity-banner;A person who has recovered from thyroid cancer is shown enjoying an energetic activity like dancing or singing, looking happy and full of life.
thyroid-cancer-life-insurance-endocrinologist-reassurance-featured;A compassionate endocrinologist is explaining a clear neck scan on a screen to a relieved patient, showing the success of their treatment.
thyroid-cancer-life-insurance-gland-location-graphic-midcon;A simple animated graphic of the neck area, clearly showing the butterfly-shaped thyroid gland to provide educational context.
thyroid-conditions-life-insurance-active-lifestyle-banner;A person with a well-managed thyroid condition is shown enjoying an energetic outdoor activity, like hiking in the UK, looking happy and full of vitality.
thyroid-conditions-life-insurance-gp-reassurance-featured;A compassionate GP is seen talking to a patient about their blood test results on a screen, reassuring them that their thyroid levels are stable and well-controlled.
thyroid-conditions-life-insurance-gland-location-graphic-midcon;A simple animated graphic of the neck area, clearly showing the butterfly-shaped thyroid gland and its location, for clear educational context.
transgender-life-insurance-community-acceptance-banner;A diverse group of people, including a visible transgender person, are shown laughing and socialising together, representing community, acceptance, and a positive future.
transgender-life-insurance-confidential-advisor-meeting-featured;A compassionate and professional financial advisor is sitting with a client, both looking at a laptop screen, in a meeting that feels safe, confidential, and respectful.
transgender-life-insurance-pride-flag-shield-graphic-midcon;A simple graphic of the transgender pride flag morphing into a shield that protects a family, symbolising protection and affirmation.
transplant-life-insurance-recipient-celebration-banner;A transplant recipient is shown celebrating a milestone birthday with their family, looking healthy and happy, conveying the gift of life and the importance of family.
transplant-life-insurance-donor-hope-story-featured;A compassionate photograph of a living kidney donor and their recipient (e.g., two friends) smiling together post-surgery, conveying a story of hope and generosity.
transplant-life-insurance-organ-donation-graphic-midcon;A simple graphic showing the NHS Organ Donor Card, promoting the message of organ donation and its life-saving impact.
tremor-life-insurance-hobby-control-banner;A person with a tremor is shown successfully enjoying a hobby that requires a steady hand, such as photography or painting, conveying a sense of control and a rich life.
tremor-life-insurance-neurologist-assessment-featured;A compassionate neurologist is seen demonstrating a simple finger-to-nose test with a patient in a calm clinic setting, as part of a neurological assessment.
tremor-life-insurance-brain-movement-graphic-midcon;A simple animated graphic of the brain showing the cerebellum highlighted, to illustrate the area of the brain often associated with controlling movement and tremor.
type-1-diabetes-life-insurance-active-lifestyle-banner;A person with Type 1 diabetes is shown confidently checking their blood glucose levels with a modern sensor before going for a run, conveying a sense of control and an active lifestyle.
type-1-diabetes-life-insurance-nurse-hba1c-results-featured;A compassionate diabetic nurse is seen in a clinic, smiling as they discuss a patient's excellent HbA1c results on a computer screen, celebrating good health management.
type-1-diabetes-life-insurance-pancreas-insulin-graphic-midcon;A simple animated graphic showing the difference between a pancreas that produces insulin and one that doesn't, clearly illustrating the mechanism of Type 1 diabetes.
ulcerative-colitis-life-insurance-healthy-social-life-banner;A person with Ulcerative Colitis is shown enjoying a meal out with friends at a restaurant, looking happy and relaxed, conveying that a full social life is possible.
ulcerative-colitis-life-insurance-gastroenterologist-explanation-featured;A compassionate gastroenterologist is seen explaining the results of a colonoscopy on a screen to a patient, showing areas of remission and reassuring them about their condition management.
ulcerative-colitis-life-insurance-intestine-inflammation-graphic-midcon;A simple animated graphic of the large intestine, clearly illustrating the difference between a healthy colon and one with the inflammation and ulceration typical of Ulcerative Colitis.
underactive-thyroid-life-insurance-active-lifestyle-banner;A person with a well-managed thyroid condition is shown enjoying an energetic outdoor activity, like hiking in the UK, looking happy and full of vitality.
underactive-thyroid-life-insurance-gp-reassurance-featured;A compassionate GP is seen talking to a patient about their blood test results on a screen, reassuring them that their thyroid levels are stable and well-controlled.
underactive-thyroid-life-insurance-gland-location-graphic-midcon;A simple animated graphic of the neck area, clearly showing the butterfly-shaped thyroid gland and its location, for clear educational context.
vaping-life-insurance-quitting-anniversary-banner;A person is shown celebrating their one-year anniversary of quitting smoking, looking healthier and happier, perhaps blowing out a '1' candle on a cake with their family.
vaping-life-insurance-positive-life-change-featured;A close-up shot of a person confidently deleting a 'smoking' app from their phone and replacing it with a 'fitness' or 'savings' app, symbolising a positive life change.
vaping-life-insurance-premium-comparison-graphic-midcon;A simple graphic comparing two life insurance premium amounts side-by-side: one high premium labelled 'Vaper/Smoker' and one significantly lower premium labelled 'Non-Smoker (12 months free)'.
vasculitis-life-insurance-calm-hobby-wellbeing-banner;A person living with vasculitis is shown enjoying a peaceful and creative hobby, such as painting or playing music, conveying a sense of calm and a rich quality of life despite a chronic illness.
vasculitis-life-insurance-rheumatologist-reassurance-featured;A compassionate rheumatologist is explaining a patient's positive blood test results on a screen, showing that their vasculitis is in remission, in a calm and reassuring clinic environment.
vasculitis-life-insurance-blood-vessel-graphic-midcon;A simple animated graphic of a blood vessel, showing a healthy vessel versus one with an inflamed and thickened wall, to clearly illustrate the basic mechanism of vasculitis.
weight-loss-surgery-life-insurance-charity-race-celebration-banner;A person who has had weight loss surgery is shown celebrating as they cross the finish line of a 10k charity race, looking fit, healthy and full of life.
weight-loss-surgery-life-insurance-bariatric-consultant-progress-featured;A compassionate bariatric consultant is showing a patient their impressive weight loss progress on a graph, conveying a sense of achievement and shared success.
weight-loss-surgery-life-insurance-stomach-comparison-graphic-midcon;A simple animated graphic of the stomach, clearly illustrating the differences between a gastric band, a gastric sleeve, and a gastric bypass procedure.
whole-of-life-insurance-legacy-inheritance-generations-banner;A touching photograph of an older person's hands passing a small, treasured object to a younger person's hands, symbolising legacy, inheritance, and the passing of wealth through generations.
whole-of-life-insurance-trust-explanation-advisor-featured;A professional and trustworthy-looking financial advisor is seen drawing a clear flowchart for a client, explaining how a life insurance policy in a Trust works to bypass the estate and pay beneficiaries directly.
whole-of-life-insurance-family-tree-protection-midcon;A simple animated graphic of a family tree, with a shield icon appearing over it, representing how a whole of life policy protects the entire family's financial legacy.
wolff-parkinson-white-syndrome-life-insurance-active-recovery-banner;A person who has been treated for WPW is shown enjoying an energetic sport like tennis, looking fit and healthy, conveying a full recovery and an active life.
wolff-parkinson-white-syndrome-life-insurance-ecg-explanation-featured;A compassionate cardiac physiologist is seen explaining an ECG trace to a patient on a screen, pointing out the 'delta wave' characteristic of WPW in a calm clinic setting.
wolff-parkinson-white-syndrome-life-insurance-ablation-graphic-midcon;A simple animated graphic of the heart's electrical system, clearly showing the normal pathway alongside the "extra pathway" of WPW, and how catheter ablation removes it.
addisons-disease-life-insurance-testparsing-peaceful-future-security-banner;A serene and hopeful image of a person in their 40s looking out over a calm UK coastal scene at sunrise, conveying a sense of peace and future security.
addisons-disease-life-insurance-testparsing-compassionate-advisor-policy-featured;A close-up, compassionate shot of a life insurance advisor explaining a policy to a client in a bright, modern office, focusing on their reassuring hands gesturing over the document.
addisons-disease-life-insurance-testparsing-sunflower-support-icons-midcon;A stylised graphic of the Hidden Disabilities Sunflower logo surrounded by icons representing support, community, and healthcare, against a soft, reassuring green background.
